instituicao_responsavel_original,instituicao_responsavel_normalizada,instituicoes_apoio_originais,instituicoes_apoio_normalizadas,arquivo_origem,id_documento_logico
Ministério de Minas e Energia,Ministério de Minas e Energia,"[""Empresa de Pesquisa Energética – EPE"", ""CEPEL""]","[""Empresa de Pesquisa Energética – EPE"", ""CEPEL""]",059.pdf,doc_77787d9fdbe0db93
Empresa de Pesquisa Energética - EPE,Empresa de Pesquisa Energética - EPE,"[""Ministério de Minas e Energia - MME""]","[""Ministério de Minas e Energia - MME""]",060.pdf,doc_b1aa507527e75c3c
,,[],[],061.pdf,doc_770bac0fd41a8219
Secretaria de Estado de Planejamento e Gestão,Secretaria de Estado de Planejamento e Gestão,[],[],062.pdf,doc_d491d58a55fd7ca7
Governo do Estado do Maranhão,Governo do Estado do Maranhão,"[""Assessoria de Comunicação da SEPLAN"", ""Assessoria Jurídica da SEPLAN"", ""Secretaria de Estado da Fazenda"", ""MACROPLAN""]","[""Assessoria de Comunicação da SEPLAN"", ""Assessoria Jurídica da SEPLAN"", ""Secretaria de Estado da Fazenda"", ""MACROPLAN""]",063.pdf,doc_802bcf589341f34f
Governo do Distrito Federal,Governo do Distrito Federal,"[""Instituto de Pesquisa e Estatística do Distrito Federal - IPEDF/CODEPLAN"", ""Banco de Brasília S/A"", ""Instituto Brasileiro de Informação em Ciência e Tecnologia (IBICT)"", ""Conselho de Desenvolvimento Econômico Sustentável e Estratégico do Distrito Federal (CODESE/DF)""]","[""Instituto de Pesquisa e Estatística do Distrito Federal - IPEDF/CODEPLAN"", ""Banco de Brasília S/A"", ""Instituto Brasileiro de Informação em Ciência e Tecnologia (IBICT)"", ""Conselho de Desenvolvimento Econômico Sustentável e Estratégico do Distrito Federal (CODESE/DF)""]",064.pdf,doc_77967d1c8364362b
Macrossetor Indústria da CUT,Macrossetor Indústria da CUT,"[""SENAI"", ""Banco do Brasil"", ""Caixa Econômica Federal"", ""Banco de Desenvolvimento do Nordeste"", ""Banco Regional de Desenvolvimento do Extremo Sul"", ""BNDES"", ""Eletrobrás"", ""Petrobrás""]","[""SENAI"", ""Banco do Brasil"", ""Caixa Econômica Federal"", ""Banco de Desenvolvimento do Nordeste"", ""Banco Regional de Desenvolvimento do Extremo Sul"", ""BNDES"", ""Eletrobrás"", ""Petrobrás""]",065.pdf,doc_4b9c3ee8f5c8c4a3
Ministério da Agricultura e Pecuária (Mapa),Ministério da Agricultura e Pecuária (Mapa),"[""Comissão Executiva do Plano da Lavoura Cacaueira (Ceplac)"", ""CocoaAction Brasil""]","[""Comissão Executiva do Plano da Lavoura Cacaueira (Ceplac)"", ""CocoaAction Brasil""]",066.pdf,doc_55e923e31d17a26d
Comitê Interministerial de Planejamento da Infraestrutura (CIP-INFRA),Comitê Interministerial de Planejamento da Infraestrutura (CIP-INFRA),"[""Casa Civil da Presidência da República"", ""Ministério da Economia"", ""Ministério da Infraestrutura"", ""Ministério de Minas e Energia"", ""Ministério das Comunicações"", ""Ministério da Ciência, Tecnologia e Inovações"", ""Ministério do Meio Ambiente"", ""Ministério do Desenvolvimento Regional"", ""Controladoria-Geral da União"", ""Secretaria Especial de Assuntos Estratégicos da Presidência da República"", ""Instituto de Pesquisa Econômica Aplicada – IPEA"", ""Banco Nacional de Desenvolvimento Econômico e Social - BNDES"", ""Empresa de Planejamento e Logística - EPL"", ""Agência Nacional de Telecomunicações – ANATEL"", ""Instituto Nacional de Pesquisas Espaciais - INPE""]","[""Casa Civil da Presidência da República"", ""Ministério da Economia"", ""Ministério da Infraestrutura"", ""Ministério de Minas e Energia"", ""Ministério das Comunicações"", ""Ministério da Ciência, Tecnologia e Inovações"", ""Ministério do Meio Ambiente"", ""Ministério do Desenvolvimento Regional"", ""Controladoria-Geral da União"", ""Secretaria Especial de Assuntos Estratégicos da Presidência da República"", ""Instituto de Pesquisa Econômica Aplicada – IPEA"", ""Banco Nacional de Desenvolvimento Econômico e Social - BNDES"", ""Empresa de Planejamento e Logística - EPL"", ""Agência Nacional de Telecomunicações – ANATEL"", ""Instituto Nacional de Pesquisas Espaciais - INPE""]",067.pdf,doc_89cacd2527cbd1ae
Secretaria de Estado de Planejamento e Gestão e Fundação João Pinheiro,Secretaria de Estado de Planejamento e Gestão e Fundação João Pinheiro,"[""Subsecretaria de Gestão Estratégica"", ""Assessoria Técnica da Presidência da Fundação João Pinheiro"", ""Subsecretaria de Comunicação Social"", ""Assessoria de Comunicação / Seplag"", ""Conselho de Desenvolvimento Econômico Social"", ""Polícia Militar"", ""Corpo de Bombeiros"", ""Gabinete Militar do Governador"", ""Polícia Civil"", ""Advocacia Geral do Estado"", ""Controladoria Geral do Estado"", ""Ouvidoria Geral do Estado"", ""Universidade do Estado de Minas Gerais - UEMG"", ""Banco de Desenvolvimento de Minas Gerais - BDMG"", ""Companhia Energética de Minas Gerais - Cemig"", ""Empresa de Assistência Técnica e Extensão Rural do Estado de Minas Gerais - EMATER - SA"", ""Fundação Estadual do Meio Ambiente - FEAM"", ""Companhia de Desenvolvimento Econômico de Minas Gerais - CODEMIG"", ""Instituto de Desenvolvimento Integrado de Minas Gerais - INDI"", ""Fundação de Amparo à Pesquisa do Estado de Minas Gerais - Fapemig"", ""Assembleia Legislativa do Estado de Minas Gerais"", ""Universidade Federal de Minas Gerais"", ""Associação Mineira de Municípios – AMM"", ""Federação das Indústrias do Estado de Minas Gerais - FIEMG"", ""Federação da Agricultura e Pecuária do Estado de Minas Gerais - FAEMG"", ""Associação Comercial e Empresarial de Minas – ACMinas"", ""Federação das Associações Comerciais e Empresariais de Minas Gerais – Federaminas"", ""Centro Industrial e Empresarial de Minas Gerais - CIEMG"", ""Câmara de Dirigentes Lojistas de Belo Horizonte - CDL"", ""Federação dos Trabalhadores na Agricultura do Estado de Minas Gerais – Fetaemg"", ""Coordenação Intersindical dos Trabalhadores no Serviço Público Estadual de Minas Gerais - ASSIMA"", ""Federação das Empresas de Transporte de Carga do Estado de Minas Gerais – FETCEMG"", ""Federação das Empresas de Transporte de Passageiros do Estado de Minas Gerais – FETRAM"", ""Organização das Cooperativas do Estado de Minas Gerais – OCEMG"", ""Serviço de Apoio às Micro e Pequenas Empresas de Minas Gerais - SEBRAE-MG"", ""Sindicato dos Trabalhadores no Serviço Público de Minas Gerais"", ""CUT – Central Única dos Trabalhadores"", ""UGT – União Geral dos Trabalhadores"", ""NCST – Nova Central Sindical dos Trabalhadores""]","[""Subsecretaria de Gestão Estratégica"", ""Assessoria Técnica da Presidência da Fundação João Pinheiro"", ""Subsecretaria de Comunicação Social"", ""Assessoria de Comunicação / Seplag"", ""Conselho de Desenvolvimento Econômico Social"", ""Polícia Militar"", ""Corpo de Bombeiros"", ""Gabinete Militar do Governador"", ""Polícia Civil"", ""Advocacia Geral do Estado"", ""Controladoria Geral do Estado"", ""Ouvidoria Geral do Estado"", ""Universidade do Estado de Minas Gerais - UEMG"", ""Banco de Desenvolvimento de Minas Gerais - BDMG"", ""Companhia Energética de Minas Gerais - Cemig"", ""Empresa de Assistência Técnica e Extensão Rural do Estado de Minas Gerais - EMATER - SA"", ""Fundação Estadual do Meio Ambiente - FEAM"", ""Companhia de Desenvolvimento Econômico de Minas Gerais - CODEMIG"", ""Instituto de Desenvolvimento Integrado de Minas Gerais - INDI"", ""Fundação de Amparo à Pesquisa do Estado de Minas Gerais - Fapemig"", ""Assembleia Legislativa do Estado de Minas Gerais"", ""Universidade Federal de Minas Gerais"", ""Associação Mineira de Municípios – AMM"", ""Federação das Indústrias do Estado de Minas Gerais - FIEMG"", ""Federação da Agricultura e Pecuária do Estado de Minas Gerais - FAEMG"", ""Associação Comercial e Empresarial de Minas – ACMinas"", ""Federação das Associações Comerciais e Empresariais de Minas Gerais – Federaminas"", ""Centro Industrial e Empresarial de Minas Gerais - CIEMG"", ""Câmara de Dirigentes Lojistas de Belo Horizonte - CDL"", ""Federação dos Trabalhadores na Agricultura do Estado de Minas Gerais – Fetaemg"", ""Coordenação Intersindical dos Trabalhadores no Serviço Público Estadual de Minas Gerais - ASSIMA"", ""Federação das Empresas de Transporte de Carga do Estado de Minas Gerais – FETCEMG"", ""Federação das Empresas de Transporte de Passageiros do Estado de Minas Gerais – FETRAM"", ""Organização das Cooperativas do Estado de Minas Gerais – OCEMG"", ""Serviço de Apoio às Micro e Pequenas Empresas de Minas Gerais - SEBRAE-MG"", ""Sindicato dos Trabalhadores no Serviço Público de Minas Gerais"", ""CUT – Central Única dos Trabalhadores"", ""UGT – União Geral dos Trabalhadores"", ""NCST – Nova Central Sindical dos Trabalhadores""]",068.pdf,doc_f55ee42f586c0e21
Fórum Nacional de Educação (FNE),Fórum Nacional de Educação (FNE),"[""PRESIDÊNCIA DA REPÚBLICA"", ""MINISTÉRIO DA EDUCAÇÃO"", ""SECRETARIA EXECUTIVA"", ""SECRETARIA EXECUTIVA ADJUNTA"", ""Associação Brasileira de Alfabetização (ABAlf)"", ""Associação Brasileira das Universidades Comunitárias de Educação Superior (Abruc)"", ""Associação Nacional dos Dirigentes das Instituições Federais de Ensino Superior (Andifes)"", ""Associação Nacional de Pesquisa em Financiamento da Educação (Fineduca)"", ""Associação Nacional de Política e Administração da Educação (Anpae)"", ""Associação Nacional de Pós-Graduandos (ANPG)"", ""Associação Nacional de Pós-Graduação e Pesquisa em Educação (Anped)"", ""Centro de Estudos Educação & Sociedade (Cedes)"", ""Comissão de Educação da Câmara dos Deputados"", ""Comissão de Educação e Cultura do Senado Federal"", ""Confederação Nacional de Pais de Alunos (Confenapais)"", ""Confederação Nacional dos Trabalhadores em Educação (CNTE)"", ""Confederação Nacional dos Trabalhadores em Estabelecimentos de Ensino (Contee)"", ""Conselho Nacional de Educação (CNE)"", ""Conselho Nacional das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica (Conif)"", ""Conselho Nacional de Secretários de Educação (Consed)"", ""Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (Capes)"", ""Federação de Sindicatos de Professores e Professoras de Instituições Federais de Ensino Superior e de Ensino Básico Técnico e Tecnológico (Proifes)"", ""Federação de Sindicatos de Trabalhadores de Universidades Brasileiras (Fasubra)"", ""Fórum Nacional dos Conselhos Estaduais e Distrital de Educação (Foncede)"", ""Fórum Nacional de Diretores de Faculdades, Centros, Departamentos de Educação ou Equivalentes das Universidades Públicas Brasileiras (ForumDir)"", ""Fóruns de Educação de Jovens e Adultos do Brasil (Fóruns EJA Brasil)"", ""Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira (Inep)"", ""Movimento Interfóruns da Educação Infantil do Brasil (Mieib)"", ""Secretaria de Articulação Intersetorial e com os Sistemas de Ensino (Sase)"", ""Secretaria de Educação Básica (SEB)"", ""Secretaria de Educação Continuada, Alfabetização de Jovens e Adultos, Diversidade e Inclusão (Secadi)"", ""Secretaria de Educação Profissional e Tecnológica (Setec)"", ""Secretaria de Educação Superior (SESu)"", ""Secretaria de Regulação e Supervisão da Educação Superior (SERES)"", ""Sociedade Brasileira para o Progresso da Ciência (SBPC)"", ""União Brasileira dos Estudantes Secundaristas (Ubes)"", ""União Nacional dos Conselhos Municipais de Educação (Uncme)"", ""União Nacional dos Dirigentes Municipais de Educação (Undime)"", ""União Nacional dos Estudantes (UNE)"", ""Conselho de Reitores das Universidades Brasileiras (Crub)"", ""Associação Brasileira dos Reitores das Universidades Estaduais e Municipais (Abruem)"", ""Central Única dos Trabalhadores (CUT)"", ""União Geral dos Trabalhadores (UGT)"", ""Confederação Nacional da Indústria (CNI)"", ""Confederação Nacional do Comércio (CNC)"", ""Campanha Nacional pelo Direito à Educação"", ""Movimento Todos Pela Educação"", ""Comissão Nacional de Educação Escolar Indígena (CNEEI)"", ""Fórum Nacional de Educação Escolar Indígena (FNCEEI)"", ""Comissão Técnica Nacional de Diversidade para Assuntos Relacionados à Educação dos Afro-Brasileiros (Cadara)"", ""Centro de Estudo das Relações do Trabalho e Desigualdades (Ceert)"", ""Confederação Nacional dos Trabalhadores na Agricultura (Contag)"", ""Movimento dos Trabalhadores Rurais Sem Terra (MST)"", ""Associação Brasileira de Lésbicas, Gays, Bissexuais, Travestis, Transexuais e Intersexos (ABGLT)"", ""União Brasileira de Mulheres (UBM)"", ""Associação Nacional das Universidades Particulares (Anup)"", ""Associação Brasileira de Educação a Distância (Abed)"", ""Confederação Nacional dos Estabelecimentos de Ensino (Confenem)"", ""Associação Brasileira de Mantenedoras de Ensino Superior (ABMES)"", ""Associação Nacional de História (Anpuh)"", ""Associação Brasileira de Ensino de Ciências Sociais (Abecs)"", ""Associação Nacional pela Formação de Profissionais da Educação (Anfope)"", ""Fórum Nacional dos Coordenadores Institucionais do Programa Institucional de Bolsa de Iniciação à Docência e Residência Pedagógica (Forpibid-RP)"", ""Associação Nacional de Educação Católica do Brasil (Anec)"", ""Associação Brasileira de Instituições Educacionais Evangélicas (Abiee)""]","[""PRESIDÊNCIA DA REPÚBLICA"", ""MINISTÉRIO DA EDUCAÇÃO"", ""SECRETARIA EXECUTIVA"", ""SECRETARIA EXECUTIVA ADJUNTA"", ""Associação Brasileira de Alfabetização (ABAlf)"", ""Associação Brasileira das Universidades Comunitárias de Educação Superior (Abruc)"", ""Associação Nacional dos Dirigentes das Instituições Federais de Ensino Superior (Andifes)"", ""Associação Nacional de Pesquisa em Financiamento da Educação (Fineduca)"", ""Associação Nacional de Política e Administração da Educação (Anpae)"", ""Associação Nacional de Pós-Graduandos (ANPG)"", ""Associação Nacional de Pós-Graduação e Pesquisa em Educação (Anped)"", ""Centro de Estudos Educação & Sociedade (Cedes)"", ""Comissão de Educação da Câmara dos Deputados"", ""Comissão de Educação e Cultura do Senado Federal"", ""Confederação Nacional de Pais de Alunos (Confenapais)"", ""Confederação Nacional dos Trabalhadores em Educação (CNTE)"", ""Confederação Nacional dos Trabalhadores em Estabelecimentos de Ensino (Contee)"", ""Conselho Nacional de Educação (CNE)"", ""Conselho Nacional das Instituições da Rede Federal de Educação Profissional, Científica e Tecnológica (Conif)"", ""Conselho Nacional de Secretários de Educação (Consed)"", ""Coordenação de Aperfeiçoamento de Pessoal de Nível Superior (Capes)"", ""Federação de Sindicatos de Professores e Professoras de Instituições Federais de Ensino Superior e de Ensino Básico Técnico e Tecnológico (Proifes)"", ""Federação de Sindicatos de Trabalhadores de Universidades Brasileiras (Fasubra)"", ""Fórum Nacional dos Conselhos Estaduais e Distrital de Educação (Foncede)"", ""Fórum Nacional de Diretores de Faculdades, Centros, Departamentos de Educação ou Equivalentes das Universidades Públicas Brasileiras (ForumDir)"", ""Fóruns de Educação de Jovens e Adultos do Brasil (Fóruns EJA Brasil)"", ""Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira (Inep)"", ""Movimento Interfóruns da Educação Infantil do Brasil (Mieib)"", ""Secretaria de Articulação Intersetorial e com os Sistemas de Ensino (Sase)"", ""Secretaria de Educação Básica (SEB)"", ""Secretaria de Educação Continuada, Alfabetização de Jovens e Adultos, Diversidade e Inclusão (Secadi)"", ""Secretaria de Educação Profissional e Tecnológica (Setec)"", ""Secretaria de Educação Superior (SESu)"", ""Secretaria de Regulação e Supervisão da Educação Superior (SERES)"", ""Sociedade Brasileira para o Progresso da Ciência (SBPC)"", ""União Brasileira dos Estudantes Secundaristas (Ubes)"", ""União Nacional dos Conselhos Municipais de Educação (Uncme)"", ""União Nacional dos Dirigentes Municipais de Educação (Undime)"", ""União Nacional dos Estudantes (UNE)"", ""Conselho de Reitores das Universidades Brasileiras (Crub)"", ""Associação Brasileira dos Reitores das Universidades Estaduais e Municipais (Abruem)"", ""Central Única dos Trabalhadores (CUT)"", ""União Geral dos Trabalhadores (UGT)"", ""Confederação Nacional da Indústria (CNI)"", ""Confederação Nacional do Comércio (CNC)"", ""Campanha Nacional pelo Direito à Educação"", ""Movimento Todos Pela Educação"", ""Comissão Nacional de Educação Escolar Indígena (CNEEI)"", ""Fórum Nacional de Educação Escolar Indígena (FNCEEI)"", ""Comissão Técnica Nacional de Diversidade para Assuntos Relacionados à Educação dos Afro-Brasileiros (Cadara)"", ""Centro de Estudo das Relações do Trabalho e Desigualdades (Ceert)"", ""Confederação Nacional dos Trabalhadores na Agricultura (Contag)"", ""Movimento dos Trabalhadores Rurais Sem Terra (MST)"", ""Associação Brasileira de Lésbicas, Gays, Bissexuais, Travestis, Transexuais e Intersexos (ABGLT)"", ""União Brasileira de Mulheres (UBM)"", ""Associação Nacional das Universidades Particulares (Anup)"", ""Associação Brasileira de Educação a Distância (Abed)"", ""Confederação Nacional dos Estabelecimentos de Ensino (Confenem)"", ""Associação Brasileira de Mantenedoras de Ensino Superior (ABMES)"", ""Associação Nacional de História (Anpuh)"", ""Associação Brasileira de Ensino de Ciências Sociais (Abecs)"", ""Associação Nacional pela Formação de Profissionais da Educação (Anfope)"", ""Fórum Nacional dos Coordenadores Institucionais do Programa Institucional de Bolsa de Iniciação à Docência e Residência Pedagógica (Forpibid-RP)"", ""Associação Nacional de Educação Católica do Brasil (Anec)"", ""Associação Brasileira de Instituições Educacionais Evangélicas (Abiee)""]",069.pdf,doc_582f154548ded28e
Ministério de Minas e Energia (MME) e Empresa de Pesquisa Energética (EPE),Ministério de Minas e Energia (MME) e Empresa de Pesquisa Energética (EPE),[],[],070.pdf,doc_b8bf77aab34b01ca
Ministério da Defesa,Ministério da Defesa,[],[],071.pdf,doc_96585da415523d23
"Ministério da Indústria, Comércio Exterior e Serviços, Secretaria de Desenvolvimento Industrial, Inovação, Comércio e Serviços","Ministério da Indústria, Comércio Exterior e Serviços, Secretaria de Desenvolvimento Industrial, Inovação, Comércio e Serviços","[""Ministério da Indústria, Comércio Exterior e Serviços"", ""Secretaria de Desenvolvimento Industrial, Inovação, Comércio e Serviços"", ""Ministério da Gestão e da Inovação em Serviços Públicos"", ""Casa Civil"", ""Ministério da Fazenda"", ""Ministério da Agricultura e Pecuária"", ""Ministério de Minas e Energia"", ""Ministério da Ciência, Tecnologia e Inovação"", ""Ministério do Desenvolvimento Agrário e Agricultura Familiar"", ""Ministério do Meio Ambiente e Mudança do Clima"", ""Empresa Brasileira de Pesquisa Agropecuária (Embrapa)"", ""Confederação da Agricultura e Pecuária do Brasil"", ""Confederação Nacional da Indústria"", ""Petróleo Brasileiro S.A."", ""CONFERT (Conselho Nacional de Fertilizantes e Nutrição de Plantas)"", ""SAE/PR (Secretaria de Assuntos Estratégicos da Presidência da República)"", ""Associação dos Misturadores de Adubo do Brasil"", ""Federação Única dos Petroleiros"", ""Instituto Brasileiro de Mineração"", ""Agência Brasileira de Promoção de Exportações e Investimentos (Apex-Brasil)"", ""Banco Nacional de Desenvolvimento Econômico e Social (BNDES)"", ""Centro de Tecnologia Mineral (CETEM)"", ""Centro Universitário de Patos de Minas (UNIPAM)"", ""Companhia de Pesquisa de Recursos Minerais – Serviço Geológico do Brasil (CPRM/SGB)"", ""Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq)"", ""Empresa Brasileira de Pesquisa e Inovação Industrial (EMBRAPII)"", ""Empresa de Pesquisa Energética (EPE)"", ""Financiadora de Estudos e Projetos (Finep)"", ""Instituto de Pesquisa Econômica Aplicada (Ipea)"", ""Instituto Nacional da Propriedade Industrial (INPI)"", ""Universidade de Brasília (UnB)"", ""Universidade de São Paulo (USP)"", ""Universidade Federal de Lavras (UFLA)"", ""Universidade Federal do Mato Grosso (UFMT)"", ""Universidade Federal do Rio de Janeiro (UFRJ)"", ""Advocacia-Geral da União (AGU)"", ""Gabinete de Segurança Institucional (GSI)"", ""Ministério da Infraestrutura (Minfra)"", ""Verde Agritech"", ""NPCT (Núcleo de Pesquisa em Ciência e Tecnologia)"", ""ABPM (Associação Brasileira de Pesquisa Mineral)"", ""ABISOLO (Associação Brasileira das Indústrias de Tecnologia em Nutrição Vegetal)"", ""Haifa Group"", ""Câmara Setorial de Florestas Plantadas"", ""Câmara Setorial da Cadeia Produtiva da Agricultura Orgânica"", ""RenovaBio"", ""AMBIPAR""]","[""Ministério da Indústria, Comércio Exterior e Serviços"", ""Secretaria de Desenvolvimento Industrial, Inovação, Comércio e Serviços"", ""Ministério da Gestão e da Inovação em Serviços Públicos"", ""Casa Civil"", ""Ministério da Fazenda"", ""Ministério da Agricultura e Pecuária"", ""Ministério de Minas e Energia"", ""Ministério da Ciência, Tecnologia e Inovação"", ""Ministério do Desenvolvimento Agrário e Agricultura Familiar"", ""Ministério do Meio Ambiente e Mudança do Clima"", ""Empresa Brasileira de Pesquisa Agropecuária (Embrapa)"", ""Confederação da Agricultura e Pecuária do Brasil"", ""Confederação Nacional da Indústria"", ""Petróleo Brasileiro S.A."", ""CONFERT (Conselho Nacional de Fertilizantes e Nutrição de Plantas)"", ""SAE/PR (Secretaria de Assuntos Estratégicos da Presidência da República)"", ""Associação dos Misturadores de Adubo do Brasil"", ""Federação Única dos Petroleiros"", ""Instituto Brasileiro de Mineração"", ""Agência Brasileira de Promoção de Exportações e Investimentos (Apex-Brasil)"", ""Banco Nacional de Desenvolvimento Econômico e Social (BNDES)"", ""Centro de Tecnologia Mineral (CETEM)"", ""Centro Universitário de Patos de Minas (UNIPAM)"", ""Companhia de Pesquisa de Recursos Minerais – Serviço Geológico do Brasil (CPRM/SGB)"", ""Conselho Nacional de Desenvolvimento Científico e Tecnológico (CNPq)"", ""Empresa Brasileira de Pesquisa e Inovação Industrial (EMBRAPII)"", ""Empresa de Pesquisa Energética (EPE)"", ""Financiadora de Estudos e Projetos (Finep)"", ""Instituto de Pesquisa Econômica Aplicada (Ipea)"", ""Instituto Nacional da Propriedade Industrial (INPI)"", ""Universidade de Brasília (UnB)"", ""Universidade de São Paulo (USP)"", ""Universidade Federal de Lavras (UFLA)"", ""Universidade Federal do Mato Grosso (UFMT)"", ""Universidade Federal do Rio de Janeiro (UFRJ)"", ""Advocacia-Geral da União (AGU)"", ""Gabinete de Segurança Institucional (GSI)"", ""Ministério da Infraestrutura (Minfra)"", ""Verde Agritech"", ""NPCT (Núcleo de Pesquisa em Ciência e Tecnologia)"", ""ABPM (Associação Brasileira de Pesquisa Mineral)"", ""ABISOLO (Associação Brasileira das Indústrias de Tecnologia em Nutrição Vegetal)"", ""Haifa Group"", ""Câmara Setorial de Florestas Plantadas"", ""Câmara Setorial da Cadeia Produtiva da Agricultura Orgânica"", ""RenovaBio"", ""AMBIPAR""]",072.pdf,doc_5d326c5048087c71
Empresa de Planejamento e Logística (EPL),Empresa de Planejamento e Logística (EPL),"[""Ministério da Infraestrutura""]","[""Ministério da Infraestrutura""]",073.pdf,doc_a449a8c0e390208b
Ministério do Desenvolvimento Regional (MDR),Ministério do Desenvolvimento Regional (MDR),"[""Agência Nacional de Águas e Saneamento Básico (ANA)"", ""Conselho Nacional de Recursos Hídricos (CNRH)"", ""ENGECORPS ENGENHARIA S.A."", ""Marinha do Brasil"", ""ICMBio"", ""IBAMA"", ""Ministério do Meio Ambiente (MMA)"", ""Secretaria de Patrimônio da União (SPU)"", ""Ministério da Agricultura, Pecuária e Abastecimento (MAPA)"", ""Comitês de Bacias Hidrográficas (CBHs)"", ""Organizações Civis de Recursos Hídricos (OGERHs)"", ""CIRM (Comissão Interministerial para os Recursos do Mar)"", ""IBGE"", ""Ministério do Turismo (MTur)"", ""Ministério da Infraestrutura (MInfra)"", ""Organizações Gestoras de Recursos Hídricos estaduais (OGRHS estaduais)""]","[""Agência Nacional de Águas e Saneamento Básico (ANA)"", ""Conselho Nacional de Recursos Hídricos (CNRH)"", ""ENGECORPS ENGENHARIA S.A."", ""Marinha do Brasil"", ""ICMBio"", ""IBAMA"", ""Ministério do Meio Ambiente (MMA)"", ""Secretaria de Patrimônio da União (SPU)"", ""Ministério da Agricultura, Pecuária e Abastecimento (MAPA)"", ""Comitês de Bacias Hidrográficas (CBHs)"", ""Organizações Civis de Recursos Hídricos (OGERHs)"", ""CIRM (Comissão Interministerial para os Recursos do Mar)"", ""IBGE"", ""Ministério do Turismo (MTur)"", ""Ministério da Infraestrutura (MInfra)"", ""Organizações Gestoras de Recursos Hídricos estaduais (OGRHS estaduais)""]",074.pdf,doc_1470ecda11ba1606
Ministério do Meio Ambiente,Ministério do Meio Ambiente,"[""Associação Brasileira de Empresas de Limpeza Pública e Resíduos Especiais - Abrelpe""]","[""Associação Brasileira de Empresas de Limpeza Pública e Resíduos Especiais - Abrelpe""]",075.pdf,doc_117af3e2981dff1c
Ministério do Desenvolvimento Regional,Ministério do Desenvolvimento Regional,"[""Conselhos Nacionais de Saúde"", ""Conselhos Nacionais de Recursos Hídricos"", ""Conselhos Nacionais de Meio Ambiente""]","[""Conselhos Nacionais de Saúde"", ""Conselhos Nacionais de Recursos Hídricos"", ""Conselhos Nacionais de Meio Ambiente""]",076.pdf,doc_e428048471c9e8f4
Agência Nacional de Águas (ANA),Agência Nacional de Águas (ANA),"[""Ministério do Desenvolvimento Regional"", ""CODEVASF"", ""DNOCS"", ""Engecorps Engenharia S.A."", ""Consórcio Nippon Koei Co. Ltd. / Nippon Koei Lac do Brasil Ltda. / STE - Serviços Técnicos de Engenharia S.A.""]","[""Ministério do Desenvolvimento Regional"", ""CODEVASF"", ""DNOCS"", ""Engecorps Engenharia S.A."", ""Consórcio Nippon Koei Co. Ltd. / Nippon Koei Lac do Brasil Ltda. / STE - Serviços Técnicos de Engenharia S.A.""]",077.pdf,doc_18f21e6105486509
Ministério da Justiça e Segurança Pública,Ministério da Justiça e Segurança Pública,"[""órgãos de controle""]","[""órgãos de controle""]",078.pdf,doc_1d05a87563e033ea
Movimento Agenda 227 – Prioridade Absoluta para Crianças e Adolescentes,Movimento Agenda 227 – Prioridade Absoluta para Crianças e Adolescentes,"[""Alana"", ""Aliança Nacional LGBTI+"", ""ANDI - Comunicação e Direitos"", ""Centro de Referências em Educação Integral"", ""Childhood Brasil"", ""Coalizão Brasileira pelo Fim da Violência contra Crianças e Adolescentes"", ""Coalizão pela Socioeducação"", ""Escola de Gente - Comunicação em Inclusão"", ""Fundação Bernard van Leer"", ""Fundação José Luiz Egydio Setúbal"", ""Fundação Maria Cecília Souto Vidigal"", ""Geledés - Instituto da Mulher Negra"", ""Instituto Clima e Sociedade (iCS)"", ""Instituto Liberta"", ""Instituto Rodrigo Mendes"", ""Rede-In - Rede Brasileira de Inclusão da Pessoa com Deficiência"", ""RNPI - Rede Nacional Primeira Infância"", ""United Way Brasil""]","[""Alana"", ""Aliança Nacional LGBTI+"", ""ANDI - Comunicação e Direitos"", ""Centro de Referências em Educação Integral"", ""Childhood Brasil"", ""Coalizão Brasileira pelo Fim da Violência contra Crianças e Adolescentes"", ""Coalizão pela Socioeducação"", ""Escola de Gente - Comunicação em Inclusão"", ""Fundação Bernard van Leer"", ""Fundação José Luiz Egydio Setúbal"", ""Fundação Maria Cecília Souto Vidigal"", ""Geledés - Instituto da Mulher Negra"", ""Instituto Clima e Sociedade (iCS)"", ""Instituto Liberta"", ""Instituto Rodrigo Mendes"", ""Rede-In - Rede Brasileira de Inclusão da Pessoa com Deficiência"", ""RNPI - Rede Nacional Primeira Infância"", ""United Way Brasil""]",079.pdf,doc_345088727156af38
Ministério da Defesa do Brasil,Ministério da Defesa do Brasil,[],[],080.pdf,doc_4225025fe2e75ceb
