metodo_original,metodo_normalizado,arquivo_origem,id_documento_logico
Construção de Cenários,Construção de Cenários,132.pdf,doc_6e9a7095cd2d322d
Planejamento de Cenários,Planejamento de Cenários,132.pdf,doc_6e9a7095cd2d322d
Cenários,Cenários,134.pdf,doc_1ba77fefa2464ac1
Consulta,Consulta,134.pdf,doc_1ba77fefa2464ac1
Estudo de Cenários,Estudo de Cenários,135.pdf,doc_8f590a73e1446557
Pesquisa Qualitativa,Pesquisa Qualitativa,135.pdf,doc_8f590a73e1446557
Seminários,Seminários,138.pdf,doc_5ff468ff6a687031
Discussão técnica com atores-chave,Discussão técnica com atores-chave,138.pdf,doc_5ff468ff6a687031
Encontros regionais,Encontros regionais,138.pdf,doc_5ff468ff6a687031
Análise de condicionantes,Análise de condicionantes,138.pdf,doc_5ff468ff6a687031
Identificação de incertezas-críticas,Identificação de incertezas-críticas,138.pdf,doc_5ff468ff6a687031
Análise de Tendências,Análise de Tendências,139.pdf,doc_c585ee70cf1ff25e
Projeção,Projeção,139.pdf,doc_c585ee70cf1ff25e
Planejamento Estratégico Situacional (PES),Planejamento Estratégico Situacional (PES),140.pdf,doc_6c9ba59f4dd011b7
Gestão Dialogada,Gestão Dialogada,140.pdf,doc_6c9ba59f4dd011b7
Seminários,Seminários,140.pdf,doc_6c9ba59f4dd011b7
Entrevistas,Entrevistas,140.pdf,doc_6c9ba59f4dd011b7
Reuniões,Reuniões,140.pdf,doc_6c9ba59f4dd011b7
Oficinas Técnicas,Oficinas Técnicas,140.pdf,doc_6c9ba59f4dd011b7
"Escutas (órgãos de governo, setor empresarial, gestores municipais, sociedade civil)","Escutas (órgãos de governo, setor empresarial, gestores municipais, sociedade civil)",141.pdf,doc_9e7725d7ea9c0a73
Diagnóstico estadual com base nos ODS,Diagnóstico estadual com base nos ODS,141.pdf,doc_9e7725d7ea9c0a73
Definição de eixos de desenvolvimento,Definição de eixos de desenvolvimento,141.pdf,doc_9e7725d7ea9c0a73
Estrutura de governança e implementação,Estrutura de governança e implementação,141.pdf,doc_9e7725d7ea9c0a73
"Sistema de informações para monitoramento, avaliação e revisões",Monitoramento e avaliação,141.pdf,doc_9e7725d7ea9c0a73
Elaboração do Índice de Desenvolvimento Territorial (IDT),Elaboração do Índice de Desenvolvimento Territorial (IDT),141.pdf,doc_9e7725d7ea9c0a73
Planejamento participativo,Planejamento participativo,141.pdf,doc_9e7725d7ea9c0a73
Planejamento participativo,Planejamento participativo,142.pdf,doc_aaa2799db3687993
Consulta a stakeholders,Consulta a stakeholders,142.pdf,doc_aaa2799db3687993
Diagnóstico,Diagnóstico,142.pdf,doc_aaa2799db3687993
Análise de indicadores,Análise de indicadores,142.pdf,doc_aaa2799db3687993
Definição de visão de futuro,Definição de visão de futuro,142.pdf,doc_aaa2799db3687993
Definição de eixos estratégicos,Definição de eixos estratégicos,142.pdf,doc_aaa2799db3687993
Monitoramento e avaliação,Monitoramento e avaliação,142.pdf,doc_aaa2799db3687993
Coleta de dados quantitativos e qualitativos,Coleta de dados quantitativos e qualitativos,142.pdf,doc_aaa2799db3687993
Entrevistas com informantes-chave,Entrevistas com informantes-chave,142.pdf,doc_aaa2799db3687993
Análise executiva de resultados (AER),Análise executiva de resultados (AER),142.pdf,doc_aaa2799db3687993
Planejamento Estratégico,Planejamento Estratégico,143.pdf,doc_196c8e9b85f6f1c2
